platform;manager;pack_number;pack_date;due_date;seller_article;wb_article;ozon_article;name;focus_metric;priority
WB;Анастасия;2;2026-04-09;2026-04-15;kss026/sph/k1/001/p1*uтемно-зеленый;569513777;3630225652;пиксель;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;kss026/sph/k1/001/p1*uхаки;569513775;3630225653;хаки;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;leg001/spl/k1/015/p1*dчерный;566478652;;3 шт;Кол продаж;Средний
WB;Анастасия;2;2026-04-09;2026-04-15;leg001/spl/k1/016/p1*dчерный,белый;566478653;;3 шт;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;leg001/spl/k3/007/p1*dчерный;839519735;;Леггинсы (лосины) детские набор 3 штуки;Отменили;Средний
WB;Анастасия;2;2026-04-09;2026-04-15;leg001/spl/k3/009/p1*dчерный,розовый;566478642;;3 шт;% выкупа;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;leg001/spl/k3/013/p1*dоранжевый,зеленый;566478649;3594714138;3 шт;% выкупа;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;lng001/sph/k1/003/p1*uсиний,белый;67018717;428199598;Лонгслив полоска;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;lng001/spl/k1/035/p1*uбелый,синий,красный;493240788;2720739611;Лонгслив красно-сине-белая полоска;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;mkb000/sph/k5/012/p1*d;168782035;1083898935;ОЕ 5 шт девочка;Кол продаж;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;mkb002/sph/k3/046/p1*d;168926514;;ажурка;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;mkb002/sph/k3/047/p1*dбледно-розовый;330907249;1539132159;принцесса нов;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;mkb002/sph/k4/048/p1*dзеленый,оранжевый,розовый;391960792;1725122392;тонкие бретель;% выкупа;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;mkb002/sph/k4/050/p1*dрозовый,желтый;387100275;1640201473;тонкие бретель;% выкупа;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;pjm003/sph/k1/016/p1*dмолочный,бордовый;242064209;1288886328;сердечки;% выкупа;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;pjm003/sph/k1/016/p2*dмолочный,бордовый;306463337;1369494467;сердечки;Отменили;Высокий
WB;Анастасия;2;2026-04-09;2026-04-15;pjm003/sph/k1/019/p1*dбежевый;402085849;1701188406;сердечки леопапрд;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;356/ftb001/sph/k2/012/p1/W*mбелый;13311287;429302893;Футболка белая 2 шт;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;603/pjm001/sph/k1/013/p1/W*dбелый,розовый;17427731;428550118;единорог;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;ftb001/sph/k1/054/p1*uчерный;493274573;;Новый год;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/030/p1*dбелый,серый,красный;525030042;949002484;котики;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/032/p1*dмолочный,бордовый;252658788;1196013126;сердца;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/032/p2*dмолочный,бордовый;304023819;1308344065;сердца;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/043/p1*mмолочный,желтый;494871206;2844072743;трактор;Отменили;Средний
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/044/p1*dбежевый;494871213;2889346405;сердца леопард;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/044/p1*dперсиковый;705961686;;MIKIVIKI лиса;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm001/sph/k1/044/p1*dпудровый;705961687;;MIKIVIKI кексы;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm002/int/k1/025/p1*dмолочный,красный;608392697;3959278405;сердца мал;Сумма заказов;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm002/int/k1/025/p1*dрозовый;608392694;;сердца роз;Кол остаток;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm002/sph/k1/017/p1*dрозовый,серый;494854609;;полоска кошка;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm005/sph/k1/008/p1*dкоричневый;494808826;;леопард;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm015/int/k1/001/p1*dмолочный,бордовый;548860917;;вишня;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm015/int/k1/001/p1*dрозовый;494854642;2777044161;сердца роз;Отменили;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm015/sph/k1/002/p1*dмолочный;548860915;;Пижама 3 в 1 футболка, лолонгслив, брюки;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm016/sph/k1/001/p1*dрозовый,черный;649194400;;короны;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;pjm016/sph/k1/001/p1*dчерный,бежевый;649194381;;черный мишка;% выкупа;Высокий
WB;Анастасия;3;2026-04-10;2026-04-16;plw006/ksh/k1/001/p1*dчерный;246954528;1192719064;лапша;Отменили;Высокий
WB;Анастасия;4;2026-04-13;2026-04-17;ftb003/sph/k1/036/p1*dчерный;566486802;;Новый год;Отменили;Высокий
WB;Анастасия;4;2026-04-13;2026-04-17;shr002/ft2/k1/008/p1*uчерный;566483872;;белкина;Отменили;Высокий
WB;Анастасия;4;2026-04-13;2026-04-17;shr002/ft2/k1/009/p1*uчерный;566483871;3761185668;найк;Отменили;Средний
