"Артикул";"Ozon Product ID";"SKU";"Количество товара в кванте";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"'wbmicelix_1_1";"2674037562";"2825129893";;"4632456164782";"Комплекс Детокс для очищения печени и кишечника, для похудения, детокc для печени, Алтея, Мицеликс, 10 шт х 2";"'82";"Алтея";"Продается";;"46";"'4.80";;"2025-09-08 16:56:17";"Парафармацевтика";"Пищевая добавка";"'1.30";"'0.3";"353";"0";"0";"0";"0";"1580.00";"2500.00";;"22%";;
"'uromax_1_1";"2674055164";"2825142977";;"4634454567374";"Таблетки от простатита для мужчин, женьшень корень, Алтея, Уромакс, 20 капсул х 2";"'100";"Алтея";"Продается";;"1200";"'4.70";;"2025-09-08 17:05:29";"Парафармацевтика";"Пищевая добавка";"'0.50";"'0.1";"1461";"2";"0";"0";"0";"1519.00";"2500.00";;"22%";;
"'varifit_1_1";"2674084022";"2825161431";;"4645563784842";"Крем мазь от варикоза, конский каштан, Алтея, Варифит, 30 мл х 2";"'100";"Алтея";"Продается";;"77";"'4.50";;"2025-09-08 17:18:31";"Парафармацевтика";"Лечебное средство";"'0.63";"'0.1";"246";"0";"0";"0";"0";"1503.00";"5500.00";;"22%";;
"'retinait_krem_1_50ml";"2680491414";"2829866449";;"4660417421605";"Крем для лица с липосомальным ретинолом 1% Ретинайт";"'100";"Алтея";"Продается";;"1776";"'4.90";;"2025-09-09 13:15:19";"Косметика для ухода";"Крем для ухода за кожей";"'0.50";"'0.1";"1738";"8";"0";"0";"0";"3190.00";"7500.00";;"22%";;
"'retinait_krem_025_50ml";"2680833907";"2830096367";;"4660417421599";"Крем для лица с липосомальным ретинолом 0,25% Ретинайт";"'100";"Алтея";"Продается";;"835";"'4.90";;"2025-09-09 14:45:35";"Косметика для ухода";"Крем для ухода за кожей";"'0.55";"'0.1";"1512";"5";"0";"0";"0";"3380.00";"9800.00";;"22%";;
"'vosk_stik_15ml";"2723798665";"2860142614";;"4670207150196";"Воск стик для укладки и фиксации волос Алтея 15 мл";"'82";"Алтея";"Продается";;"112";"'4.90";;"2025-09-16 16:26:04";"Косметика для ухода за волосами";"Воск для волос";"'0.50";"'0.1";"91";"0";"0";"0";"0";"1391.00";"10000.00";;"22%";;
"'enzim_pudra_80gr_v2";"2800758152";"2915421784";;"4645565747487";"Энзимная пудра для умывания тела и лица, от прыщей, Алтея, 80г";"'82";"Алтея";"Готов к продаже";;"368";"'4.90";;"2025-09-29 06:59:01";"Косметика для ухода";"Средство для умывания";"'0.32";"'0.1";"0";"0";"0";"0";"0";"1665.00";"7500.00";;"22%";;
"'retinait_krem_05_50ml";"2831207412";"2937061626";;"4660417421759";"Крем для лица с липосомальным ретинолом 0,5% Ретинайт";"'82";"Алтея";"Продается";;"1359";"'4.90";;"2025-10-06 13:48:16";"Косметика для ухода";"Крем для ухода за кожей";"'0.58";"'0.1";"2124";"4";"0";"0";"0";"2265.00";"2500.00";;"22%";;
"'retinait_krem_01_50ml";"2974043664";"3043803801";;"4660417421629";"Крем для лица с ретинолом и церамидами 50 мл Ретинайт";"'82";"Алтея";"Продается";;"150";"'4.90";;"2025-10-30 10:01:12";"Косметика для ухода";"Крем для ухода за кожей";"'0.50";"'0.1";"945";"2";"0";"0";"0";"3230.00";"3500.00";;"22%";;
"'biotrin_60mlV1";"3048606972";"3098935949";;;"Мазь для суставов обезболивающая, панты морала, хондротин, глюкозамин, Биотрин, 60 мл";"'100";"Алтея";"Готов к продаже";;"0";"'4.70";;"2025-11-12 11:18:29";"Парафармацевтика";"Лечебное средство";"'0.24";"'0.1";"0";"0";"0";"0";"0";"3000.00";"4000.00";;"22%";;
"'antigiperton";"3056333115";"3104292822";;"4610030634135";"Антигипертон витамины для сердца и сосудов от давления 10 шт";"'82";"Алтея";"Не продается";;"76";"'0.00";"Есть запрос от государственного органа";"2025-11-13 15:08:14";"Парафармацевтика";"Пищевая добавка";"'0.10";"'0.1";"0";"0";"0";"0";"0";"3000.00";"5000.00";;"22%";;
"'psoral11";"3060813217";"3107365307";;;"Мазь от псориаза и дерматита, крем от зуда, Алтея, Псорал, 30 мл";"'100";"Алтея";"Готов к продаже";;"0";"'0.00";;"2025-11-14 08:47:42";"Косметика для ухода";"Крем для ухода за кожей";"'0.41";"'0.1";"0";"0";"0";"0";"0";"2000.00";"2500.00";;"22%";;
"'syvorotka_dlya_lica_30ml_v2";"3131245095";"3159927877";;"4603312714069";"Сыворотка для лица с ниацинамидом для лица антивозрастная, от пигментных пятен, пигментации, Алтея, 30 мл";"'82";"Алтея";"Продается";;"254";"'4.80";;"2025-11-26 15:39:55";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.66";"'0.1";"533";"6";"0";"0";"0";"7000.00";"10500.00";;"22%";;
"'krem_spf50_50ml";"3137302699";"3164675898";;"4660417421766";"СПФ для лица База под макияж увлажняющая с SPF 50 для лица Крем солнцезащитный, крем-флюид, Алтея, 50 мл";"'82";"Алтея";"Продается";;"718";"'4.90";;"2025-11-27 13:02:08";"Косметика для ухода";"Средство солнцезащитное";"'0.58";"'0.1";"986";"10";"0";"0";"0";"1725.00";"9000.00";;"22%";;
"'retinait_krem_1_5_50ml";"3296175113";"3285665744";;"4660417421827";"Крем для лица с ретинолом 1.5, антивозрастной, против морщин, сыворотка от морщин и пигментных пятен, Алтея, Ретинайт, 50 мл";"'82";"Алтея";"Продается";;"1080";"'4.90";;"2025-12-25 10:26:09";"Косметика для ухода";"Крем для ухода за кожей";"'0.50";"'0.1";"3035";"13";"0";"0";"0";"3353.00";"9500.00";;"22%";;
"'Retinol_Start_Kit";"3324969667";"3307454109";;"4660401460092";"Набор уходовой косметики для лица с ретинолом";"'82";"Алтея";"Продается";;"0";"'0.00";;"2025-12-30 09:28:11";"Косметика для ухода";"Крем для ухода за кожей";"'1.35";"'0.3";"0";"0";"100";"0";"0";"4250.00";"6000.00";;"22%";;
"'maska-batter_500ml";"3333313803";"3313805130";;"4630446234156";"Маска для волос с кератином увлажняющая 500мл Алтея";"'82";"Алтея";"Продается";;"172";"'4.80";;"2025-12-31 16:32:55";"Косметика для ухода за волосами";"Маска для волос";"'0.77";"'0.5";"790";"2";"0";"0";"0";"1914.00";"9000.00";;"22%";;
"'retinol_boost_krem_dlya_vek_30ml";"3596673449";"3518343392";;"4660417421636";"Крем c ретинолом для век антивозрастной для кожи и кожи вокруг глаз, Алтея, 30мл";"'69.5";"Алтея";"Продается";;"285";"'4.90";;"2026-02-09 15:04:09";"Косметика для ухода";"Крем для ухода за кожей";"'0.50";"'0.1";"92";"11";"0";"0";"0";"1997.00";"12000.00";;"22%";;
"'syvorotka_niacin_05_30ml";"3613904336";"3531236252";;"4640523970297";"сыворотка для лица с ниацинамидом 5% от прыщей и акне антивозрастная от пигментных пятен увлажняющая Алтея";"'69.5";"Алтея";"Продается";;"78";"'4.80";;"2026-02-13 14:39:45";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.50";"'0.1";"741";"8";"0";"0";"0";"1800.00";"10500.00";;"22%";;
"'retinait_syvorotka_05_30ml";"3625301604";"3539589591";;"4640523970082";"Сыворотка для лица с ретинолом омолаживающая";"'69.5";"Алтея";"Продается";;"40";"'4.80";;"2026-02-17 13:50:00";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.50";"'0.1";"971";"2";"0";"0";"0";"2000.00";"2500.00";;"22%";;
"'retinait_syvorotka_025_30ml";"3628798702";"3542323865";;"4640523970099";"Сыворотка с ретинолом 0,25% для лица от морщин антивозрастная Алтея 30 мл";"'69.5";"Алтея";"Продается";;"21";"'4.80";;"2026-02-18 15:45:34";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.50";"'0.1";"974";"1";"0";"0";"0";"1805.00";"15000.00";;"22%";;
"'Retinol_Full_Journey";"3643894801";"3553420531";;"4660401460108";"Набор уходовой косметики для лица антивозрастной";"'69.5";"Алтея";"Продается";;"0";"'0.00";;"2026-02-24 19:12:30";"Косметика для ухода";"Крем для ухода за кожей";"'1.35";"'0.3";"0";"0";"100";"0";"0";"6000.00";"6500.00";;"22%";;
"'Strong_Hair";"3673502545";"3575347959";;"104607025203";"Набор для волос шампунь + маска для роста волос";"'69.5";"Алтея";"Продается";;"0";"'0.00";;"2026-03-02 15:18:02";"Косметика для ухода за волосами";"Косметический набор для волос";"'2.78";"'0.9";"0";"0";"50";"0";"0";"3000.00";"4000.00";;"22%";;
"'spiculboost_30ml";"3823843992";"3693432789";;"4630446231421";"Сыворотка для лица с микроиглами и коллагеном";"'69.5";"Алтея";"Готов к продаже";;"0";"'0.00";;"2026-03-19 16:44:31";"Косметика для ухода";"Сыворотка для ухода за кожей";"'0.50";"'0.1";"0";"0";"0";"0";"0";"2000.00";"2500.00";;"22%";;
"'spicul_gel_mask_75ml";"3890378713";"3745260313";;"4660417421858";"Гелевая маска для лица со спикулами 3000 ppm и микроиглами";"'69.5";"Алтея";"Готов к продаже";;"0";"'0.00";;"2026-03-25 15:23:20";"Маска косметическая";"Маска косметическая";"'0.12";"'0.1";"0";"0";"0";"0";"0";"2000.00";"2500.00";;"22%";;
